,Ticker,App,Created,Publisher,Rating,Count,Time
0,A,Agilent InterAct! Viewer,2021-02-26,"Agilent Technologies, Inc",0.0,0,2023-10-15
1,ADSK,AutoCAD,2010-09-29,Autodesk,4.41831,6201,2023-10-15
2,ADSK,BIM 360 Ops,2014-12-03,Autodesk,3.63636,11,2023-10-15
3,ADTN,ADTRAN IoT,2021-03-02,"ADTRAN, INC",2.83333,6,2023-10-15
4,AEE,Ameren Mobile,2014-07-10,Ameren Corporation,4.74887,11261,2023-10-15
5,AEG,Mijn Aegon,2013-09-13,AEGON Nederland N.V.,4.35714,14,2023-10-15
6,AEG,Aegon Events,2017-08-16,AEGON N.V.,0.0,0,2023-10-15
7,AEG,Aegon UK,2020-09-02,AEGON UK CORPORATE SERVICES LTD,2.2,5,2023-10-15
8,AEG,Knab Bankieren,2014-07-26,AEGON Bank N.V.,4.79518,83,2023-10-15
9,AFG,AFG Events,2017-02-01,"American Financial Group, Inc.",5.0,2,2023-10-15
10,AFYA,Medcel Residência Médica,2019-02-28,AFYA PARTICIPACOES SA,5.0,1,2023-10-15
11,AGFS,Harvista Calibration Tool,2020-05-01,"AGROFRESH SOLUTIONS, INC.",0.0,0,2023-10-15
12,AGFS,FreshCloud,2019-08-23,"AGROFRESH SOLUTIONS, INC.",5.0,2,2023-10-15
13,AGR,NYSEG,2019-10-28,"AVANGRID, INC",4.51604,2525,2023-10-15
14,AGR,United Illuminating,2019-12-31,"AVANGRID, INC",4.6654,2394,2023-10-15
15,AGR,RG&E,2019-10-28,"AVANGRID, INC",4.45729,1323,2023-10-15
16,AGR,Central Maine Power,2020-05-19,"AVANGRID, INC",4.53089,1473,2023-10-15
17,AGR,Southern Connecticut Gas,2019-12-31,"AVANGRID, INC",4.69693,1112,2023-10-15
18,AGYS,Agilysys Inspire,2019-02-16,"Agilysys NV, LLC",0.0,0,2023-10-15
19,AGYS,My Hotel Key,2019-08-19,"Agilysys NV, LLC",1.18182,22,2023-10-15
20,AGYS,Agilysys Pay Elavon,2021-09-23,"Agilysys NV, LLC",0.0,0,2023-10-15
21,AGYS,Agilysys Pay Adyen,2021-08-24,"Agilysys NV, LLC",0.0,0,2023-10-15
22,AGYS,Agilysys Pay GP,2021-04-23,"Agilysys NV, LLC",0.0,0,2023-10-15
23,AIG,AIG Rapid Rater,2011-12-22,"American International Group, Inc.",3.66667,6,2023-10-15
24,AIG,AIG Travel Assistance,2014-04-28,"American International Group, Inc.",2.92857,14,2023-10-15
25,AIG,AIG Meetings & Events,2016-09-02,"American International Group, Inc.",4.0,2,2023-10-15
26,AIG,VALIC Meetings and Events,2015-01-28,"American International Group, Inc.",5.0,1,2023-10-15
27,AIZ,Assurant EXP,2020-12-23,"ASSURANT NEW VENTURES, INCORPORATED",0.0,0,2023-10-15
