,Ticker,Date,Description,Agency,Amount
0,ABT,2023-10-21,PROSTHETICS. ETERNA IMPLATANTABEL PULSE GERNERATOR.,Department of Veterans Affairs,49744.0
1,CDW,2023-10-21,TRUSTWAVE DBPROTECT FOR ESC,Department of Transportation,85860.0
2,CDW,2023-10-21,DESKTOP,Department of State,5880.48
3,D,2023-10-21,NATURAL GAS SERVICES - OCTOBER FY-24,Department of Justice,75000.0
4,DGX,2023-10-21,LABORATORY TESTING FOR FCC ALLENWOOD COMPLEX FY24,Department of Justice,10000.0
5,ECL,2023-10-21,"DETERGENT, LAUNDRY; SOLID SURGE PLUS; ECOLAB PN 6117905 OR EQUAL. ONE-SHOT LAUNDRY DETERGENT COMBINING ALKALINITY, WATER CONDITIONERS, A WETTING AGENT, FRAGRANCE AND FABRIC BRIGHTENER. FOR USE WITH HASPOLITALITY AND HEALTHCARE LINENS. COMPATIABLE WIT",General Services Administration,1730.55
6,ECL,2023-10-21,"CLEANING SOLUTION, PORCELAIN: CONCENTRATED CLINGING, GEL CLEANER FOR REMOVING LIME SCALE, SOAP AND RESIDUES ON BATHROOM SURFACES. COMPATIABLE WITH ECOLAB QUIK FILL DISPENSING SYSTEM. COMPLIES WITH CID A-A-6000 REQUIREMENTS. ONE (1) EACH 2.5 GALLON CO",General Services Administration,5414.88
7,ECL,2023-10-21,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",General Services Administration,84.13
8,ECL,2023-10-21,"GLASS CLEANER: ECOLAB INC. P/N 6100288, OASIS 255 SF.  CONCENTRATED FORMULA IS EFFECTIVE ON GREASE, SMOKE FILM AND DRIED HAIR SPRAY. VOC COMPLIANT. TWO (2) AND ONE-HALF (2.5) GALLON BAG IN A BOX.",General Services Administration,322.12
9,ECL,2023-10-21,"ECOLAB PN: 10364. DISH WASHING MACHINGE PRESOAK DETERGENT, ALKALINE BOOSTED DESIGNED FOR ALL WATER TYPES. IDEAL FOR USE ON HEAVY PROTEIN SOILS, INCLUDING EGGS AND GRAVY. FEATURING GEOFUSION TECHNOLOGY, FEATURING TITREX-7 CREATING SHAPE-CODED NON-CAUS",General Services Administration,67.07
10,ECL,2023-10-21,"RINSE ADDITIVE,DISH",General Services Administration,1872.7
11,ECL,2023-10-21,"GLASS CLEANER: ECOLAB INC. P/N 6100288 OASIS 255 SF. CONCENTRATED FORMUA IS EFFECTIVE ON GREASE, SMOKE FILM AND DRIED HAIR SPRAY. VOC COMPLIANT. TWO (2) AND ONE-HALF (2.5) GALLON BAG IN A BOX.",General Services Administration,322.12
12,ECL,2023-10-21,"DETERGENT, LAUNDRY; SOLID SURGE PLUS; ECOLAB PN 6117905 OR EQUAL. ONE-SHOT LAUNDRY DETERGENT COMBINING ALKALINITY, WATER CONDITIONERS, A WETTING AGENT, FRAGRANCE AND FABRIC BRIGHTENER. FOR USE WITH HASPOLITALITY AND HEALTHCARE LINENS. COMPATIABLE WIT",General Services Administration,115.37
