,Date,IPC,Title,Claims,Abstract,Ticker,PatentNumber
0,2023-10-10,h04l009/40,building a machine learning model without compromising data privacy,20,"systems and methods include obtaining file identifiers associated with files in production data; obtaining lab data from one or more public repositories of malware samples based on the file identifiers for the production data; and utilizing the lab data for training a machine learning process for classifying malware in the production data. the obtaining file identifiers can be based on monitoring of users associated with the files, and only the file identifiers are maintained based on the monitoring. the lab data can include samples from the one or more public repositories matching the corresponding file identifiers for the production data. the lab data can include samples from the one or more public repositories that have features closely related to features of the production data.",ZS,11785022
1,2023-10-10,h04l043/10,adaptive tracing with a reduced number of probes to avoid firewall issues,20,"techniques for using trace with tunnels and cloud-based systems for determining measures of network performance are presented. systems and methods include determining a number of hops from a source that is the user device and a destination, including determining metrics from the source to the destination; performing a trace to all intermediate nodes between the source and the destination, including determining metrics from the source to each of the intermediate nodes; and combining and presenting the metrics from the source to the destination and from the source to each of the intermediate nodes.",ZS,11784904
2,2023-10-10,h04l029/06,"detecting unused, abnormal permissions of users for cloud-based applications using a genetic algorithm",17,"systems and methods include obtaining unused user accounts associated with a cloud application where an unused user account is one where a corresponding user has not accessed the cloud application in a certain period of time; determining a subset of the unused user accounts that are abnormal user accounts, wherein an abnormal user account is one that is anomalous compared to similar users; scoring and ranking the unused and abnormal user accounts; and remediating a set of the ranked unused and abnormal user accounts.",ZS,11785033
3,2023-10-10,g06q030/02,management of an advertising exchange using email data,20,"in some examples, a computer-implemented method of managing an advertising exchange is provided. the method uses email data and provides an interactive user interface for controlling management of data in an email channel. one or more inputs of online audience data is received. the online audience data includes email channel inventory from multiple publishers, offline audience data including offline shopping behavior is sourced from at least one or more offline source. the online audience data and the offline audience data is included in a unified customer database, and the interactive user interface includes interface elements selectable to present online and offline audience data sourced from the unified customer database.",ZETA,11783368
4,2023-10-10,h03l001/02,thermal insulation and temperature control of components,10,a device may include a temperature controlled chamber. the temperature controlled chamber may be coupled to a plurality of strengthening coated capillary tubes. the strengthening coated capillary tubes may support the temperature controlled chamber and provide thermal insulation to the temperature controlled chamber.,XRX,11785705
5,2023-10-10,c09d011/10,aqueous inkjet ink compositions,17,"aqueous inkjet ink compositions are provided. in an embodiment, such an aqueous inkjet ink composition comprises a solvent system comprising water, a first organic solvent, and a second organic solvent, wherein the second organic solvent is an alkanediol having from 2 to 8 carbon atoms and the second organic solvent is present at an amount of from greater than 0 weight % to about 8 weight %; a white pigment; and resin particles. methods of making and using the aqueous inkjet ink compositions are also provided.",XRX,11781025
6,2023-10-10,g02b006/00,method and apparatus to add light sources to a print,15,"a method is disclosed. for example, the method includes printing an image on a substrate, applying an adhesive on select portions of the image, coupling the image to a wave guide such that the adhesive contacts a surface of the wave guide, and providing a light through the wave guide such that the light is emitted through the wave guide and the adhesive and the light is reflected by the select portions of the image back through the adhesive and the wave guide.",XRX,11784281
7,2023-10-10,c09d011/102,printable mixed fillers epoxy composites,20,"a composition of matter comprises at least 10 wt % epoxy functionalized two-dimensional shaped particles, carbon nanotubes in the range of 0.1 to 5 wt %, epoxy resin and a curing agent. a method of manufacturing a composition of matter includes mixing epoxy resin, carbon nanotubes and a solvent to produce a material, drying the material, and mixing the material with a curing agent to product the composition of matter. a method of printing a composition of matter includes producing the composition of matter by combining epoxy functionalized graphene, carbon nanotubes, epoxy base resin, and a curing agent, extrusion printing the composition of matter into a desired pattern, and curing the pattern.",XRX,11781027
8,2023-10-10,g01d005/353,installation of optical sensors for use in traffic monitoring,24,one or more spacers for installing an optical cable are disposed in a trench that extends along an axis. the optical cable includes one or more optical sensors. each spacer includes a base configured to rest in a bottom of the trench. a first arm extends from the base. the first arm is adjacent to a first wall of the trench. an opposing second arm extends from the base. the second arm is adjacent to an opposing second wall of the trench. the optical cable is configured to extend along the axis.,XRX,11782231
9,2023-10-10,b41c001/10,matrix-addressed heat image forming device,23,"based on evaporation of fountain solution from a rotating blanket cylinder to create an image that may be inked and printed, a digitally addressable heater array at or just below the blanket surface evaporates deposited fountain solution and forms a fountain solution latent image on the surface. the heater array has controllable heating elements (e.g., field effect transistors, thin film transistors) that provide a transient heat pattern on the surface to evaporate the fountain solution. heat is generated by current flow in the heating elements, and power developed by the heating circuit is the product of source-drain voltage and current in the channel. current may be supplied along data lines by an external voltage controlled by digital electronics to provide the desired heat at heating elements addressed by a specific gate line. the heater array may include a current return line that may be a 2-dimensional mesh.",XRX,11780218
