,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,PricePerShare,Shares,movement_since_trade
0,(SIRI),2023-09-18T00:00:00.000,BARRY THOMAS D,D,F,3.99,35755.0,
1,1314152,2023-09-25T00:00:00.000,Day R. Martel,A,J,13.14,358.694,
2,1314152,2023-09-25T00:00:00.000,FISCHER TAMARA D,A,J,13.14,56.483,
3,1314152,2023-09-25T00:00:00.000,Gordon Jacques,A,J,13.14,30.186,
4,1314152,2023-09-25T00:00:00.000,LINDGREN DOUGLAS A,A,J,13.14,107.529,
5,1314152,2023-09-25T00:00:00.000,Swaringen C. Allan,A,J,13.14,28.409,
6,1314152,2023-09-25T00:00:00.000,THURBER LYNN C,A,J,13.14,364.733,
7,1314152,2023-09-25T00:00:00.000,Zeigler Robin McBride,A,J,13.14,156.371,
8,A,2023-09-11T00:00:00.000,Binns Philip,A,A,113.1,2203.0,-3.678157461396174
9,A,2023-09-28T00:00:00.000,Gonsalves Rodney,A,P,111.09,2.59,-2.732140677315848
10,AA,2023-09-15T00:00:00.000,Hastings Andrew,A,A,0.0,5550.0,-6.759101341960235
11,AA,2023-10-04T00:00:00.000,Williams Steven W,A,A,27.16,2577.0,-0.9572909806426585
12,AADI,2023-09-01T00:00:00.000,Desai Neil,D,S,5.9668,13889.0,-28.327649939040523
13,AADI,2023-09-05T00:00:00.000,Desai Neil,D,S,5.6341,21000.0,-23.49726804433526
14,AADI,2023-09-06T00:00:00.000,Desai Neil,D,S,5.2928,7111.0,-21.0526377115976
15,AADI,2023-10-02T00:00:00.000,Desai Neil,D,S,4.3685,25569.0,-2.325590163581752
16,AADI,2023-10-03T00:00:00.000,Desai Neil,D,S,4.0961,16431.0,4.477607691359675
17,AAL,2023-09-20T00:00:00.000,Isom Robert D Jr,A,A,0.0,1493107.0,-7.6569675947173454
18,AAL,2023-09-20T00:00:00.000,Johnson Stephen L,A,A,0.0,462962.0,-7.6569675947173454
19,AAN,2023-10-01T00:00:00.000,Bacdayan Wangdali,A,A,10.47,12893.0,
20,AAN,2023-10-01T00:00:00.000,Malkoski Kristine Kay,A,A,10.47,12893.0,
21,AAOI,2023-09-12T00:00:00.000,Yeh Shu-Hua (Joshua),A,M,9.96,12000.0,-30.017605197793824
22,AAOI,2023-09-12T00:00:00.000,Yeh Shu-Hua (Joshua),D,F,11.65,11000.0,-30.017605197793824
23,AAOI,2023-09-14T00:00:00.000,Lin Chih-Hsiang (Thompson),A,P,9.7934,15000.0,-18.503334536139366
24,AAON,2023-09-08T00:00:00.000,Wichman Gordon Douglas,A,M,21.58,1500.0,-12.429467079168262
25,AAON,2023-09-08T00:00:00.000,Wichman Gordon Douglas,A,M,27.58,4500.0,-12.429467079168262
26,AAON,2023-09-08T00:00:00.000,Wichman Gordon Douglas,D,S,66.11,6000.0,-12.429467079168262
27,AAON,2023-09-15T00:00:00.000,Stewart David Raymond,A,P,60.17,500.0,-5.683316094720034
28,AAON,2023-09-26T00:00:00.000,ASBJORNSON NORMAN H,D,G,0.0,37234.0,3.403564615875846
29,AAP,2023-08-28T00:00:00.000,LEE EUGENE I JR,A,A,65.63,17141.55,-23.861034112566994
30,AAP,2023-09-13T00:00:00.000,LEE EUGENE I JR,A,P,57.6491,8670.0,-13.740719907715013
31,AAP,2023-09-18T00:00:00.000,OKelly Shane M,A,A,58.16,78982.0,-14.081840866912257
32,AAPL,2023-08-08T00:00:00.000,Adams Katherine L.,D,G,0.0,5600.0,0.5061199369654172
33,AAPL,2023-10-01T00:00:00.000,Adams Katherine L.,D,F,171.21,70732.0,
34,AAPL,2023-10-01T00:00:00.000,COOK TIMOTHY D,D,F,171.21,270431.0,
35,AAPL,2023-10-01T00:00:00.000,Maestri Luca,D,F,171.21,72573.0,
36,AAPL,2023-10-01T00:00:00.000,O'BRIEN DEIRDRE,D,F,171.21,70732.0,
37,AAPL,2023-10-01T00:00:00.000,WILLIAMS JEFFREY E,D,F,171.21,66483.0,
38,AAPL,2023-10-03T00:00:00.000,Adams Katherine L.,D,S,171.62,25850.0,4.820193220176368
39,AAPL,2023-10-03T00:00:00.000,Adams Katherine L.,D,S,172.23,32886.0,4.820193220176368
40,AAPL,2023-10-03T00:00:00.000,Adams Katherine L.,D,S,173.24,6800.0,4.820193220176368
41,AAPL,2023-10-03T00:00:00.000,COOK TIMOTHY D,D,S,171.42,55664.0,4.820193220176368
42,AAPL,2023-10-03T00:00:00.000,COOK TIMOTHY D,D,S,172.52,99223.0,4.820193220176368
43,AAPL,2023-10-03T00:00:00.000,COOK TIMOTHY D,D,S,173.18,85682.0,4.820193220176368
44,AAPL,2023-10-03T00:00:00.000,O'BRIEN DEIRDRE,D,S,172.08,61610.0,4.820193220176368
45,AAPL,2023-10-03T00:00:00.000,O'BRIEN DEIRDRE,D,S,172.65,3926.0,4.820193220176368
46,AAPL,2023-10-06T00:00:00.000,Maestri Luca,D,S,177.89,32010.0,1.8141873463557594
47,AAPL,2023-10-06T00:00:00.000,WILLIAMS JEFFREY E,D,S,177.0,69785.0,1.8141873463557594
48,AAPL,2023-10-09T00:00:00.000,Maestri Luca,D,S,178.55,19000.0,0.9609481914725205
49,AAPL,2023-10-09T00:00:00.000,Maestri Luca,D,S,178.91,12685.0,0.9609481914725205
50,ABBV,2023-09-07T00:00:00.000,Alpern Robert J,A,W,0.0,129.0,-0.40964380857562166
51,ABBV,2023-09-25T00:00:00.000,GONZALEZ RICHARD A,D,G,0.0,42000.0,-4.106040152175471
52,ABCL,2023-09-12T00:00:00.000,Lecault Veronique,A,P,5.19,20000.0,-22.56809100279692
53,ABCL,2023-09-22T00:00:00.000,Hayden Michael R,A,P,4.91,20000.0,-20.399999618530273
54,ABCP,2023-09-08T00:00:00.000,"Camac Fund, LP",D,S,0.15,50000.0,-6.000001986821413
55,ABCP,2023-09-22T00:00:00.000,"Camac Fund, LP",D,S,0.1553,70000.0,-6.000001986821413
56,ABCP,2023-10-09T00:00:00.000,"Camac Fund, LP",D,S,0.15,50000.0,-6.000001986821413
