,Date,IPC,Title,Claims,Abstract,Ticker,PatentNumber
0,2023-10-17,h04l029/06,microsegmentation for serverless computing,15,"systems and methods include obtaining a set of policies to in the serverless computing system, wherein the set of policies specify which applications are authorized for communication with the serverless computing system; and modifying rules in a network access control list (acl) associated with the serverless computing system based on the set of policies, wherein the network acl includes rules that specify allowing and blocking communication. the serverless computing system includes having underlying hardware abstracted therefrom. the network acl is provided by a cloud provider that hosts the serverless computing system.",ZS,11792194
1,2023-10-17,b32b041/00,indicator assembly for media processing devices,18,"a printer includes: a body defining a media enclosure configured to receive a media supply; an indicator assembly supported by an outer wall of the body, the indicator assembly including a plurality of substantially contiguous illumination surfaces illuminated by respective ones of a set of lights supported within the body; a controller supported by the body, the controller configured to: (i) obtain an operational status of the printer, (ii) retrieve, from a mapping repository, a set of notification control parameters corresponding to the operational status, and (iii) control the set of lights according to the notification control parameters.",ZBRA,11787588
2,2023-10-17,g06k007/10,handheld barcode readers and assemblies with vision cameras,20,"handheld barcode readers and assemblies are disclosed herein. an example handheld barcode reader includes a housing defining a head portion and a base portion, a vision camera positioned in the base portion, a barcode reading module positioned at least partially in the head portion, and a controller in communication with the barcode reading module and the vision camera. the vision camera has a first fov directed through a base window in the base portion and the barcode reading module has a second fov directed through a scan window in the head portion. the controller is configured to decode barcodes read by the barcode reading module, receive captured images from the vision camera, and synchronize the barcode reading module and the vision camera such that the vision camera does not capture images when the barcode reading module is active.",ZBRA,11790194
3,2023-10-17,g06k007/10,"miniature long range imaging engine with auto-focus, auto-zoom, and auto-illumination system",37,"methods and systems to implement a miniature long range imaging engine with auto-focus, auto-zoom, and auto-illumination are disclosed herein. an example method includes detecting, by a microprocessor, a presence of an aim light pattern within the fov; determining, by the microprocessor and in response to the detecting, a target distance of an object in the fov based on a position of the aim light pattern in the fov, the target distance being a distance from the imaging engine to the object; causing, by the microprocessor, a variable focus optical element to focus on the object based on the target distance; responsive to making a first determination, by the microprocessor, selecting, based on the target distance, one of a plurality of zoom operation modes; and responsive to making a second determination, by the microprocessor, selecting, based on the target distance, one of a plurality of illumination modes.",ZBRA,11790197
4,2023-10-17,b25j009/16,method and system for selecting a preferred robotic grasp of an object-of-interest using pairwise ranking,71,"a method for selecting a preferred robotic grasp of an object-of-interest using pairwise ranking includes: identifying a robotic candidate grasp usable to grasp the object-of-interest, the object-of-interest situated in an environment; receiving a grasp preference for a preferred candidate grasp of the object-of-interest; calculating a heuristic to describe a relationship of the candidate grasp to one or more of the object-of-interest and the environment; and using the heuristic and using the grasp preference, computing a pairwise ranking of two candidate grasps to determine an ordering of the at least two candidate grasps.",ZBRA,11787059
5,2023-10-17,b41m001/06,secondary roller for fountain solution contact angle pinning,20,"ink-based digital printing systems useful for ink printing include a secondary roller having a rotatable reimageable surface layer configured to receive fountain solution. the fountain solution layer is patterned on the secondary roller and then partially transferred to an imaging blanket, where the fountain solution image is inked. the resulting ink image may be transferred to a print substrate. to achieve a very high-resolution (e.g., 1200-dpi, over 900-dpi) print with these secondary roller configurations, an equivalent very high-resolution fountain solution image needs to be transferred from the secondary roller onto the imaging blanket. to increase the resolution of the image on the secondary roller, examples include a textured surface layer added to the secondary roller for contact angle pinning the fountain solution on the roll. approaches to introduce a micro-structure onto the surface layer of the secondary roller, and also superoleophobic surface coatings are described.",XRX,11787167
6,2023-10-17,c09j163/00,adhesive with substrate compatibilizing particles,9,"a pair of bonded substrates having a first substrate of a first material, a second substrate of the first material, and an adhesive bonding the first substrate to the second substrate, wherein the adhesive has chemically linked compatibilizing particles compatible with the first and second substrates. a composition of matter has an adhesive having a chemically linked particle network forming a bond between a first substrate and a second substrate, wherein compatibilizing particles in the particle network are compatible with the first and second substrates. a method of joining two structures of identical materials includes preparing first and second structures to expose bare material, applying an adhesive to the bare material on the first and second structures, the adhesive containing compatibilizing particles compatible with the material and the preparing allows interaction between the material and the compatibilizing particles, and curing the adhesive.",XRX,11787987
7,2023-10-17,b41j029/38,"devices, system, and methods for supplying makeup air at printhead modules of a printing system",19,"a printing system comprises a print fluid deposition assembly, a media transport device, and an air flow control system. the print fluid deposition assembly comprises a printhead module comprising a plurality of printheads to eject a print fluid to a deposition region. the media transport device holds a print medium against a movable support surface by vacuum suction and transports the print medium through the deposition region. the air flow control system is arranged to flow air toward the movable support surface at locations upstream and downstream of the printhead module, based on a location of a print medium relative to the printhead module.",XRX,11787205
8,2023-10-17,b41j029/377,sheet cooling system for a printing device,20,"a multi-sheet cooling buffer suitable for use in a printing device and a method of sheet processing with the cooling buffer are described. the cooling buffer includes an inlet and an outlet and a sheet cooling mechanism. an array of cooling stations, intermediate the inlet and the outlet, are each configured to receive print media sheets independently from the inlet and direct cooled sheets towards the outlet. in the cooling buffer, multiple print media sheets are able to be cooled contemporaneously in respective ones of the cooling stations.",XRX,11787211
9,2023-10-17,c08l077/02,particles comprising polyamides with pendent optical absorbers and related methods,20,"a method for producing highly spherical polymer particles comprising a polyamide having an optical absorber pendent from a backbone of the polyamide (oamb-polyamide) may comprise: mixing a mixture comprising the oamb-polyamide, a carrier fluid that is immiscible with the oamb-polyamide, and optionally an emulsion stabilizer at a temperature greater than a melting point or softening temperature of the oamb-polyamide and at a shear rate sufficiently high to disperse the oamb-polyamide in the carrier fluid; and cooling the mixture to below the melting point or softening temperature of the oamb-polyamide to form particles comprising the oamb-polyamide and the emulsion stabilizer, when present, associated with an outer surface of the particles.",XRX,11787937
10,2023-10-17,c08j003/21,pigmented polymer particles and methods of production and uses thereof,10,"pigmented polymer particles may comprise a thermoplastic polymer and a pigment, wherein at least some of the pigmented polymer particles have a morphology according to (a), (b), (c), or any combination thereof: (a) the pigment having a coating comprising the thermoplastic polymer and the coated pigment adhered to a thermoplastic polymer particle, (b) the pigment being embedded in an outer surface of the thermoplastic polymer particle, and (c) the pigment being encapsulated by the thermoplastic polymer particle. the pigmented polymer particles, especially the highly spherical pigmented polymer particles, may be useful, among other things, as starting material for additive manufacturing. for example, a method may comprise: depositing, upon a surface, the foregoing pigmented polymer particles optionally in combination with other thermoplastic polymer particles; and once deposited, heating at least a portion of the particles to promote consolidation thereof and form a consolidated body.",XRX,11787944
11,2023-10-17,b41m001/06,fog development using a formative surface,20,"a formative surface having a conductive base covered with a dielectric and oleophobic/hydrophobic surface layer is created with defined pits to grow micro-puddles of a defined volume. the formative surface is brought into close proximity with a charge retentive surface carrying a charge image. fountain solution vapor nucleates and grows preferentially on the base of the pits as micro-puddle droplets. the puddles are charged and extracted from the surface to provide a fog of charged droplets of narrow volume and charge distribution. the charged droplets are attracted and repelled respectively from the charged and discharged image regions of the charge retentive surface, thus developing the charged image into a fountain solution latent image. the developed latent image is then brought into contact with a transfer member blanket and split, thus creating on the blanket a fountain solution latent image ready for inking.",XRX,11787166
12,2023-10-17,g06k007/10,object identification,15,"a system includes a structure configured to hold items, at least one capacitive touch sensor, and an item scanner configured to move the capacitive touch sensor relative to the structure and to identification elements disposed on the items held by the structure. each identification element represents a multi-digit code. the capacitive touch sensor is configured to generate a sensor signal comprising sequences of waveforms in response to movement of the capacitive touch sensor relative to the identification elements. each sequence of waveforms includes the multi-digit code that identifies one of the items.",XRX,11790190
13,2023-10-17,c07k016/44,parathyroid hormone receptor 1 (pth1r) antibodies and uses thereof,24,"the present disclosure relates, in general, human antibodies against human parathyroid hormone receptor 1 (pth1r) and methods of use of such antibodies in the treatment of cancer, humoral hypercalcemia of malignancy (hhm), or primary hyperparathyroidism (phpt) and secondary hyperparathyroidism (shpt) and cachexia.",XOMA,11787876
14,2023-10-17,f02k001/76,traveling finger lock for an actuator,26,"the subject matter of this specification can be embodied in, among other things, a linear actuator lock apparatus having a housing having an inner surface defining an axial cavity having a first housing portion where the axial cavity has a first lateral size, a second housing portion having a second, larger lateral size, and a face from the first housing portion to the second housing portion, a lock assembly having a lock carrier configured for movement within the cavity between a first position and a position, and a lock finger affixed to and extending away from the lock carrier, where the second finger end is configured to contact the face when extended and fit within the first housing portion when retracted, and a sleeve configured to move between a position in which the lock finger is permitted to extend and a position configured to contact and retract the lock finger.",WWD,11788490
15,2023-10-17,h01l029/417,radio frequency transistor amplifiers having widened and/or asymmetric source/drain regions for improved on-resistance performance,26,"a gallium nitride-based rf transistor amplifier comprises a semiconductor layer structure comprising a barrier layer on a channel layer, first and second source/drain regions in the semiconductor layer structure, first and second source/drain contacts on the respective first and second source/drain regions, and a longitudinally-extending gate finger that is between the first and second source/drain contacts. the first and second source/drain contacts each has an inner sidewall that faces the gate finger and an opposed outer sidewall. the first source/drain region extends a first distance from a lower edge of the inner sidewall of the first source/drain contact towards the second source/drain region along a transverse axis that extends parallel to a plane defined by the upper surface of the semiconductor layer structure, and extends a second, smaller distance from a lower edge of the outer sidewall of the first source/drain contact away from the second source/drain region.",WOLF,11791389
16,2023-10-17,h01l029/40,wide bandgap transistors with gate-source field plates,29,"a transistor comprising an active region having a channel layer, with source and drain electrodes formed in contact with the active region and a gate formed between the source and drain electrodes and in contact with the active region. a spacer layer is on at least part of the surface of the plurality of active region between the gate and the drain electrode and between the gate and the source electrode. a field plate is on the spacer layer and extends on the spacer and over the active region toward the drain electrode. the field plate also extends on the spacer layer over the active region and toward the source electrode. at least one conductive path electrically connects the field plate to the source electrode or the gate.",WOLF,11791385
17,2023-10-17,h01l029/06,superjunction power semiconductor devices formed via ion implantation channeling techniques and related methods,18,semiconductor devices include a silicon carbide drift region having an upper portion and a lower portion. a first contact is on the upper portion of the drift region and a second contact is on the lower portion of the drift region. the drift region includes a superjunction structure that includes a p-n junction that is formed at an angle of between 10° and 30° from a plane that is normal to a top surface of the drift region. the p-n junction extends within +/−1.5° of a crystallographic axis of the silicon carbide material forming the drift region.,WOLF,11791378
18,2023-10-17,b64u020/70,unmanned aerial vehicle including equipment mounted in recessed seat of apex support structure,17,"an unmanned aerial vehicle according to certain embodiments generally includes a chassis, a power supply mounted to the chassis, a control system operable to receive power from the power supply, a plurality of arms extending outward from the chassis, a plurality of rotors, and a support structure mounted atop the chassis. each rotor is mounted to a corresponding arm of the plurality of arms, is in communication with the control system, and is operable to generate lift under control of the control system. the support structure includes a plurality of arched struts that connect to one another at an apex region of the support structure.",WKHS,11787563
19,2023-10-17,b64u010/13,carriage lock mechanism for an unmanned aerial vehicle,23,"an example carriage is configured for mounting to an unmanned aerial vehicle. the carriage generally includes a housing assembly configured for mounting to the unmanned aerial vehicle, a movable grip mounted to the housing assembly for movement between a capturing position and a releasing position, a latch device, and a driver. the latch device has a latching state and an unlatching state, is configured to retain the movable grip in the capturing position when the latch device is in the latching state, and is configured to permit movement of the movable grip from the capturing position to the releasing position when in the unlatching state. the driver is operable to transition the latch device from the latching state to the unlatching state.",WKHS,11787564
20,2023-10-17,d06f039/02,chemistry dispensing assembly for a laundry appliance,18,a chemistry dispensing assembly for a laundry appliance includes a reservoir that dispenses a laundry chemistry to a treatment chamber. a mixing channel is positioned below the reservoir that receives the laundry chemistry dispensed from the reservoir. a fluid assembly delivers a fluid carrier through a flow path that includes the mixing channel. the mixing channel is defined between an underside of the reservoir and an upper surface of the mixing channel.,WHR,11788225
