,Ticker,App,Created,Publisher,Rating,Count,Time
0,AAL,American Airlines Credit Union,2015-06-16,American Airlines Federal Credit Union,4.67641,13885,2023-10-17
1,A,Agilent InterAct! Viewer,2021-02-26,"Agilent Technologies, Inc",0.0,0,2023-10-17
2,A,Vacuum Link,2020-01-31,"Agilent Technologies, Inc",0.0,0,2023-10-17
3,AAL,American Airlines,2010-07-26,"American Airlines, Inc.",4.65827,402257,2023-10-17
4,AGFS,Harvista Calibration Tool,2020-05-01,"AGROFRESH SOLUTIONS, INC.",0.0,0,2023-10-17
5,AGFS,FreshCloud,2019-08-23,"AGROFRESH SOLUTIONS, INC.",5.0,2,2023-10-17
6,AGR,NYSEG,2019-10-28,"AVANGRID, INC",4.51642,2527,2023-10-17
7,AGR,United Illuminating,2019-12-31,"AVANGRID, INC",4.66695,2393,2023-10-17
8,AGR,RG&E,2019-10-28,"AVANGRID, INC",4.45509,1325,2023-10-17
9,AGR,Central Maine Power,2020-05-19,"AVANGRID, INC",4.53089,1473,2023-10-17
10,AGR,Southern Connecticut Gas,2019-12-31,"AVANGRID, INC",4.69693,1112,2023-10-17
11,AGYS,Agilysys Inspire,2019-02-16,"Agilysys NV, LLC",0.0,0,2023-10-17
12,AGYS,My Hotel Key,2019-08-19,"Agilysys NV, LLC",1.18182,22,2023-10-17
13,AGYS,Agilysys Pay Elavon,2021-09-23,"Agilysys NV, LLC",0.0,0,2023-10-17
14,AGYS,Agilysys Pay Adyen,2021-08-24,"Agilysys NV, LLC",0.0,0,2023-10-17
15,AGYS,Agilysys Pay GP,2021-04-23,"Agilysys NV, LLC",0.0,0,2023-10-17
16,AIG,AIG Rapid Rater,2011-12-22,"American International Group, Inc.",3.66667,6,2023-10-17
17,AIG,AIG Travel Assistance,2014-04-28,"American International Group, Inc.",2.92857,14,2023-10-17
18,AIG,AIG Meetings & Events,2016-09-02,"American International Group, Inc.",4.0,2,2023-10-17
19,AIG,VALIC Meetings and Events,2015-01-28,"American International Group, Inc.",5.0,1,2023-10-17
20,AIZ,Assurant EXP,2020-12-23,"ASSURANT NEW VENTURES, INCORPORATED",0.0,0,2023-10-17
21,AIZ,Pocket Geek Mobile,2014-09-15,"ASSURANT NEW VENTURES, INCORPORATED",4.62995,2216,2023-10-17
22,AIZ,OnTech Smart Support,2020-05-11,"ASSURANT NEW VENTURES, INCORPORATED",3.14286,14,2023-10-17
23,AIZ,Lowe's TechConnect,2020-10-11,"ASSURANT NEW VENTURES, INCORPORATED",3.36364,11,2023-10-17
24,AIZ,Pocket Geek Home,2020-03-24,"ASSURANT NEW VENTURES, INCORPORATED",4.13333,105,2023-10-17
25,AJG,Gallagher Go - US,2018-07-05,Arthur J. Gallagher & Co,1.0,1,2023-10-17
26,AJG,Gallagher Go - Canada,2017-11-30,Arthur J. Gallagher & Co,5.0,1,2023-10-17
27,AJG,AJG Meetings,2017-01-07,Arthur J. Gallagher & Co,0.0,0,2023-10-17
28,AJG,AJG Connecting Together,2016-06-06,Arthur J. Gallagher & Co,0.0,0,2023-10-17
29,AJG,AJG TravelCert,2015-09-18,Arthur J. Gallagher & Co,5.0,1,2023-10-17
30,AKAM,Akamai EAA Client,2019-06-11,"Akamai Technologies, Inc.",5.0,1,2023-10-17
31,AKAM,Akamai MFA,2021-02-20,"Akamai Technologies, Inc.",4.0,18,2023-10-17
32,AKAM,Akamai Events,2019-11-27,"Akamai Technologies, Inc.",3.66667,3,2023-10-17
33,ALC,Alcon Employee's FCU,2018-06-24,Alcon Employees Federal Credit Union,3.5,4,2023-10-17
34,ALC,Alcon Events,2020-03-06,"Alcon Laboratories, Inc",0.0,0,2023-10-17
35,ALE,Minnesota Power,2019-03-02,"ALLETE, Inc.",4.16667,12,2023-10-17
36,ALE,"Superior Water, Light & Power",2019-03-02,"ALLETE, Inc.",3.0,3,2023-10-17
37,ALGN,My Invisalign,2018-02-26,"Align Technology, Inc.",4.77377,51073,2023-10-17
38,ALGN,Align Events,2023-08-04,"Align Technology, Inc.",0.0,0,2023-10-17
39,ALGT,Allegiant,2012-06-06,Allegiant Travel Company,2.83886,4133,2023-10-17
40,ALK,Alaska Airlines,2010-02-20,"Alaska Airlines, Inc.",4.84841,777929,2023-10-17
41,ALL,Allstate® Mobile,2010-04-19,Allstate Insurance Company,4.76919,856970,2023-10-17
42,ALLO,The CarT by Allogene,2019-04-03,"Allogene Therapeutics, Inc.",0.0,0,2023-10-17
43,ALLY,Ally Auto Finance,2013-11-12,Ally Financial Inc.,4.69585,9502,2023-10-17
44,ALLY,Ally Invest Forex,2018-07-24,Ally Financial Inc.,2.42342,111,2023-10-17
45,ALRS,Alerus Retirement,2011-09-30,Alerus Financial Corporation,4.42141,439,2023-10-17
46,ALRS,Alerus Mobile,2019-09-07,Alerus Financial Corporation,2.37778,90,2023-10-17
47,ALRS,Alerus – Business Banking,2020-01-16,Alerus Financial Corporation,2.66667,3,2023-10-17
48,ALTR,Altair Access,2018-06-22,"Altair Engineering, Inc.",0.0,0,2023-10-17
49,ALV,Autoliv LabelCheck,2019-06-25,Autoliv AB,2.0,1,2023-10-17
50,ALV,Driving Avatar,2019-01-12,Autoliv AB,2.76471,17,2023-10-17
51,ALXN,PNH記録ノート,2018-12-10,"Alexion Pharmaceuticals, Inc.",0.0,0,2023-10-17
52,AMBR,SCC Facility Compliance,2021-09-15,Amber Road (Hong Kong) Ltd,0.0,0,2023-10-17
53,AMD,AMD Link,2017-12-12,"Advanced Micro Devices, Inc.",2.5,32,2023-10-17
54,AMD,AMD Link Legacy for Windows 7,2021-04-20,"Advanced Micro Devices, Inc.",3.66667,3,2023-10-17
55,AME,Telecenter U Emergency,2019-05-16,AMETEK Inc.,4.45455,11,2023-10-17
56,AMRC,MaintenancePlanner,2016-10-12,Ameresco Asset Sustainability Group LLC,4.75,4,2023-10-17
57,AMRC,AuditPlanner,2017-05-18,Ameresco Asset Sustainability Group LLC,5.0,2,2023-10-17
58,AMRC,SpacePlanner,2018-02-22,Ameresco Asset Sustainability Group LLC,0.0,0,2023-10-17
59,AMRN,Popcorn Chef 2 - Kawaii Games,2016-01-16,Ramsay Amarin,4.39234,209,2023-10-17
60,AMRN,NaiinPann: Online Bookstore,2012-11-18,"Amarin Book Center Co., Ltd.",4.58824,34,2023-10-17
61,ANDE,The Andersons Trade Group,2015-09-25,"The Andersons, Inc.",4.66667,3,2023-10-17
