,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
0,Robert E. Latta,2023-10-21,2023-10-20,FMBA,Purchase,"$1,001-$15,000",Representatives,1001.0,R
1,Robert J. Wittman,2023-10-19,2023-09-28,MSFT,Sale,"$1,001-$15,000",Representatives,1001.0,R
2,Robert J. Wittman,2023-10-19,2023-09-28,ABBV,Sale,"$1,001-$15,000",Representatives,1001.0,R
3,Robert J. Wittman,2023-10-19,2023-09-28,HIG,Sale,"$1,001-$15,000",Representatives,1001.0,R
4,Robert J. Wittman,2023-10-19,2023-09-28,GOOG,Sale,"$1,001-$15,000",Representatives,1001.0,R
5,Robert J. Wittman,2023-10-19,2023-09-28,AMZN,Sale,"$1,001-$15,000",Representatives,1001.0,R
6,Robert J. Wittman,2023-10-19,2023-09-28,JPM,Sale,"$1,001-$15,000",Representatives,1001.0,R
7,Robert J. Wittman,2023-10-19,2023-09-28,UNH,Sale,"$1,001-$15,000",Representatives,1001.0,R
8,Robert J. Wittman,2023-10-19,2023-09-28,EOG,Sale,"$1,001-$15,000",Representatives,1001.0,R
9,Robert J. Wittman,2023-10-19,2023-09-28,CAT,Sale,"$1,001-$15,000",Representatives,1001.0,R
10,Robert J. Wittman,2023-10-19,2023-09-28,KMI,Sale,"$1,001-$15,000",Representatives,1001.0,R
11,Robert J. Wittman,2023-10-19,2023-09-28,WMT,Sale,"$1,001-$15,000",Representatives,1001.0,R
12,Robert J. Wittman,2023-10-19,2023-09-28,AAPL,Sale,"$1,001-$15,000",Representatives,1001.0,R
13,Robert J. Wittman,2023-10-19,2023-09-28,PLD,Sale,"$1,001-$15,000",Representatives,1001.0,R
14,Robert J. Wittman,2023-10-19,2023-09-15,FIS,Sale,"$1,001-$15,000",Representatives,1001.0,R
15,Robert J. Wittman,2023-10-19,2023-09-15,IFF,Sale,"$1,001-$15,000",Representatives,1001.0,R
16,Robert J. Wittman,2023-10-19,2023-09-07,AMT,Purchase,"$1,001-$15,000",Representatives,1001.0,R
17,Josh Gottheimer,2023-10-15,2023-09-26,NOC,Purchase,"$1,001-$15,000",Representatives,1001.0,D
18,Josh Gottheimer,2023-10-15,2023-09-26,TGT,Sale,"$1,001-$15,000",Representatives,1001.0,D
19,Josh Gottheimer,2023-10-15,2023-09-26,AAPL,Sale,"$1,001-$15,000",Representatives,1001.0,D
20,Josh Gottheimer,2023-10-15,2023-09-22,TSLA,Purchase,"$1,001-$15,000",Representatives,1001.0,D
21,Josh Gottheimer,2023-10-15,2023-09-22,MA,Purchase,"$1,001-$15,000",Representatives,1001.0,D
22,Josh Gottheimer,2023-10-15,2023-09-22,AVGO,Purchase,"$1,001-$15,000",Representatives,1001.0,D
23,Josh Gottheimer,2023-10-15,2023-09-21,LLY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
24,Josh Gottheimer,2023-10-15,2023-09-18,INTA,Purchase,"$1,001-$15,000",Representatives,1001.0,D
25,Josh Gottheimer,2023-10-15,2023-09-18,VBTX,Sale,"$1,001-$15,000",Representatives,1001.0,D
26,Josh Gottheimer,2023-10-15,2023-09-15,VCYT,Sale,"$1,001-$15,000",Representatives,1001.0,D
27,Josh Gottheimer,2023-10-15,2023-09-15,SHLS,Sale,"$1,001-$15,000",Representatives,1001.0,D
28,Josh Gottheimer,2023-10-15,2023-09-15,SGIOY,Sale,"$1,001-$15,000",Representatives,1001.0,D
29,Josh Gottheimer,2023-10-15,2023-09-15,VBTX,Sale,"$1,001-$15,000",Representatives,1001.0,D
30,Josh Gottheimer,2023-10-15,2023-09-15,FSLR,Sale,"$1,001-$15,000",Representatives,1001.0,D
31,Josh Gottheimer,2023-10-15,2023-09-15,VZ,Sale,"$1,001-$15,000",Representatives,1001.0,D
32,Josh Gottheimer,2023-10-15,2023-09-15,CYRX,Sale,"$1,001-$15,000",Representatives,1001.0,D
33,Josh Gottheimer,2023-10-15,2023-09-15,AZTA,Sale,"$1,001-$15,000",Representatives,1001.0,D
34,Josh Gottheimer,2023-10-15,2023-09-15,CSPCY,Sale,"$1,001-$15,000",Representatives,1001.0,D
35,Josh Gottheimer,2023-10-15,2023-09-15,D,Sale,"$15,001-$50,000",Representatives,15001.0,D
36,Josh Gottheimer,2023-10-15,2023-09-15,NCLTY,Sale,"$1,001-$15,000",Representatives,1001.0,D
