,Ticker,Amount,Qtr,Year
0,IMNM,508406.73,3,2020
1,IMNM,10000.0,4,2020
2,IMPP,85420.94,3,2020
3,IMUX,423831.64,3,2020
4,IMUX,449181.74,2,2021
5,IMUX,1072330.0,3,2022
6,INCY,6130336.42,3,2020
7,INCY,323712.99,1,2021
8,INCY,101801.84,2,2021
9,INCY,289510.62,3,2021
10,INCY,622245.88,1,2022
11,INCY,524144.72,2,2022
12,INCY,34735.52,3,2022
13,INCY,12000.0,1,2023
14,INCY,266102.84,2,2023
15,INCY,757223.6,3,2023
16,INCY,25598.91,4,2023
17,INDI,10000.0,4,2020
18,INFA,341274.92,3,2020
19,INFA,507030.12,1,2021
20,INFA,36980.8,2,2021
21,INFA,4283.0,3,2021
22,INFA,26467.38,4,2021
23,INFA,552896.69,1,2022
24,INFA,25617.89,2,2022
25,INFA,105202.98,3,2022
26,INFA,270000.0,1,2023
27,INFA,12152.8,2,2023
28,INGN,20733.64,2,2020
29,INGN,120645.59,3,2020
30,INGN,11578.0,1,2022
31,INGN,76461.28,3,2022
32,INMB,739739.0,4,2020
33,INMB,1210682.0,4,2021
34,INO,16570397.0,3,2020
35,INOD,151461.1,2,2020
36,INOD,663292.72,3,2020
37,INOD,88143.96,2,2021
38,INPX,365707.72,3,2020
39,INPX,2544.0,3,2021
40,INPX,4454.0,4,2021
41,INPX,2544.0,4,2022
42,INPX,17175.0,4,2023
43,INSE,438921.8,3,2020
44,INSE,81702.12,2,2021
45,INSE,449157.0,3,2021
46,INSG,203500.0,4,2020
47,INSG,51282.0,4,2021
48,INSG,51282.0,2,2022
49,INSG,147741.0,4,2022
50,INSM,250509.58,3,2020
51,INSM,15442.08,1,2021
52,INSM,53550.49,4,2023
53,INSP,648341.41,2,2020
54,INSP,101049.25,3,2020
55,INSP,748780.2,4,2020
56,INSP,928886.89,1,2021
57,INSP,1223641.72,2,2021
58,INSP,1496346.63,3,2021
59,INSP,731276.27,4,2021
60,INSP,1524198.37,1,2022
61,INSP,1320216.19,2,2022
62,INSP,2380919.36,3,2022
63,INSP,1836933.39,4,2022
64,INSP,1209249.51,1,2023
65,INSP,524513.0,2,2023
66,INSP,427484.61,3,2023
67,INSP,371909.58,4,2023
68,INSP,23668.34,1,2024
69,INST,40541.83,3,2020
70,INST,13000.0,4,2020
71,INST,56050.0,2,2021
72,INST,25280.0,3,2021
73,INST,48195.56,4,2021
74,INST,24560.0,1,2022
75,INST,34020.0,2,2022
76,INST,510169.4,3,2022
77,INST,71015.0,2,2023
78,INST,191872.0,3,2023
79,INST,118342.0,4,2023
80,INTC,145387065.63,2,2020
81,INTC,423517020.0,3,2020
82,INTC,185944968.89,4,2020
83,INTC,85823705.48,1,2021
84,INTC,201612022.56,2,2021
85,INTC,142751676.61,3,2021
86,INTC,167160556.23,4,2021
87,INTC,67827802.81,1,2022
88,INTC,80912119.88,2,2022
89,INTC,151574028.19,3,2022
90,INTC,173575988.42,4,2022
91,INTC,87744971.25,1,2023
92,INTC,105922904.39,2,2023
93,INTC,135862147.73,3,2023
94,INTC,155044410.64,4,2023
95,INTC,1693749.73,1,2024
96,INTG,1256588.18,3,2020
97,INTG,64206.24,4,2020
98,INTG,7198.44,1,2021
99,INTG,775505.15,2,2021
100,INTG,43977.72,3,2021
101,INTG,22371.36,4,2021
102,INTR,20217.17,2,2020
103,INTR,6772214.88,3,2020
104,INTR,227189.29,4,2020
105,INTR,2689413.97,2,2021
106,INTR,4025443.2,3,2021
107,INTR,35919.27,4,2021
108,INTR,71760.8,2,2022
109,INTR,30162.0,4,2022
110,INTR,150000.0,1,2023
111,INTU,58792.44,3,2020
112,INTU,54303.15,4,2020
113,INTU,6481.25,2,2021
114,INTU,15000.0,1,2022
115,INTU,13267.04,2,2022
116,INTZ,1635457.73,3,2020
117,INTZ,21528.02,4,2020
118,INVA,54420.2,3,2020
119,INVE,932785.99,2,2020
120,INVE,3199919.46,3,2020
121,INVE,30856.45,4,2020
122,INVE,235271.6,1,2021
123,INVE,915994.42,2,2021
124,INVE,104764.66,3,2021
125,INVE,575001.4,4,2021
126,INVE,313501.92,1,2022
127,INVE,69240.21,2,2022
128,INVE,926981.55,3,2022
129,INVE,407520.61,4,2022
130,INVE,106807.94,1,2023
131,INVE,443177.42,2,2023
132,INVE,1096222.06,3,2023
133,INVE,757867.36,4,2023
134,INVH,4000.0,4,2020
135,INVO,160331.06,3,2020
136,IONM,1231524.04,3,2020
137,IONM,1726293.9,2,2021
138,IOSP,22988.72,3,2020
139,IOSP,23537.38,2,2021
140,IOT,883598.79,3,2020
141,IOT,20405.96,4,2020
142,IOT,93237.71,2,2021
143,IOT,56343.82,3,2021
144,IOT,47459.88,4,2021
145,IPA,212594.8,3,2020
146,IPWR,391457.12,3,2020
147,IPWR,220617.25,4,2020
148,IPWR,3375.0,1,2021
149,IPWR,176162.45,2,2021
150,IPWR,97950.9,3,2021
151,IPWR,5590.44,3,2022
152,IPGP,70700.0,2,2020
153,IPGP,2671047.09,4,2020
154,IPGP,139160.0,1,2021
155,IPGP,64499.98,2,2021
156,IPGP,103980.0,3,2021
157,IPGP,140453.8,4,2021
158,IPGP,862525.96,1,2022
159,IPGP,2292610.0,3,2022
160,IPGP,288216.0,4,2022
161,IPGP,585499.7,3,2023
162,IPGP,68610.0,4,2023
163,IPI,10172000.0,3,2020
164,IPW,6651693.46,3,2020
165,IPW,6763.56,4,2020
166,IPW,199230.52,2,2021
167,IPW,5460125.11,3,2021
168,IPW,27185.7,4,2021
169,IPW,923.6,1,2022
170,IPW,28800.0,3,2022
171,IPW,4531546.3,4,2022
172,IPW,166714.6,2,2023
173,IPW,4620735.31,3,2023
174,IRIX,25365.5,2,2020
175,IRIX,2564406.02,3,2020
176,IRIX,105782.87,4,2020
177,IRIX,8979.6,1,2021
178,IRIX,84287.39,2,2021
179,IRIX,59351.9,3,2021
180,IRIX,35247.83,4,2021
181,IRIX,44536.0,1,2022
182,IRIX,46500.0,2,2022
183,IRIX,105157.0,3,2022
184,IRIX,228977.1,4,2022
185,IRIX,22357.08,1,2023
186,IRIX,6724.36,2,2023
187,IRIX,20615.86,3,2023
188,IRIX,10300.0,4,2023
189,IRIX,11200.0,1,2024
190,IRM,2708059.97,2,2020
191,IRM,12342929.19,3,2020
192,IRM,12980098.4,4,2020
193,IRM,4317485.33,1,2021
194,IRM,3868565.6,2,2021
195,IRM,15199126.84,3,2021
196,IRM,14698063.8,4,2021
197,IRM,3118157.24,1,2022
198,IRM,10846889.32,2,2022
199,IRM,10772568.95,3,2022
